strategy,budget,instances,optimal,suboptimal,optimal_percent,avg_terminals,avg_roots,avg_workers,avg_dangers,avg_ratio,worst_ratio,avg_speedup
random_town,25,20,7,13,0.35,16.0,12.35,16.0,0.0,1.008,1.032,10770.795
random_town,25,20,8,12,0.4,17.0,12.35,16.0,1.0,1.007,1.037,16035.955
random_town,30,20,4,16,0.2,16.0,13.05,16.0,0.0,1.015,1.034,12825.339
random_town,30,20,5,15,0.25,17.0,13.05,16.0,1.0,1.013,1.034,17593.575
random_town,35,20,11,9,0.55,19.0,14.65,19.0,0.0,1.005,1.027,23783.133
random_town,35,20,11,9,0.55,20.0,14.65,19.0,1.0,1.007,1.027,27834.789
random_town,40,20,10,10,0.5,22.0,16.35,22.0,0.0,1.005,1.023,21653.364
random_town,40,20,8,12,0.4,23.0,16.35,22.0,1.0,1.005,1.017,26786.134
random_town,45,20,7,13,0.35,25.0,17.7,25.0,0.0,1.006,1.02,27055.948
random_town,45,20,7,13,0.35,26.0,17.7,25.0,1.0,1.007,1.023,31642.288
territory_capital,5,20,20,0,1.0,3.0,2.7,3.0,0.0,1.0,1.0,194.597
territory_capital,5,20,20,0,1.0,4.0,2.7,3.0,1.0,1.0,1.0,160.477
territory_capital,10,20,20,0,1.0,6.0,4.2,6.0,0.0,1.0,1.0,178.554
territory_capital,10,20,19,1,0.95,7.0,4.2,6.0,1.0,1.001,1.019,342.764
territory_capital,15,20,13,7,0.65,9.0,6.1,9.0,0.0,1.006,1.037,869.507
territory_capital,15,20,12,8,0.6,10.0,6.1,9.0,1.0,1.006,1.034,1225.857
territory_capital,20,20,19,1,0.95,12.0,6.55,12.0,0.0,1.001,1.012,737.871
territory_capital,20,20,19,1,0.95,13.0,6.55,12.0,1.0,1.001,1.011,784.869
territory_capital,25,20,19,1,0.95,16.0,7.2,16.0,0.0,1.0,1.008,1099.736
territory_capital,25,20,18,2,0.9,17.0,7.2,16.0,1.0,1.001,1.008,1301.318
territory_capital,30,20,19,1,0.95,16.0,7.8,16.0,0.0,1.0,1.009,1358.976
territory_capital,30,20,19,1,0.95,17.0,7.8,16.0,1.0,1.0,1.009,1867.442
territory_capital,35,20,19,1,0.95,19.0,7.95,19.0,0.0,1.001,1.024,5028.92
territory_capital,35,20,16,4,0.8,20.0,7.95,19.0,1.0,1.002,1.023,4729.38
territory_capital,40,20,17,3,0.85,22.0,8.15,22.0,0.0,1.001,1.008,4567.061
territory_capital,40,20,16,4,0.8,23.0,8.15,22.0,1.0,1.001,1.007,3265.496
territory_capital,45,20,17,3,0.85,25.0,8.9,25.0,0.0,1.002,1.021,2089.389
territory_capital,45,20,17,3,0.85,26.0,8.9,25.0,1.0,1.002,1.021,2962.45
